Fid,Age,Gender,Street,City,Latitude,Longitude,Community,Followers,Retweets,Likes,Unlikes,Label
10.42.0.42-108.174.10.10-49827-80-6,67,Male,45600 Menholm Road,Chilliwack,49.165763,-121.962422,Politics,174,45,197,6,0
10.42.0.151-10.42.0.1-46679-53-17,76,Female,45600 Menholm Road,Chilliwack,49.165763,-121.962422,Music,312,40,97,14,1
203.205.128.137-10.42.0.151-80-44451-6,52,Female,13750 96th Avenue,Surrey,49.177003,-122.842316,Sports,440,42,89,11,0
10.42.0.151-69.16.175.42-49558-80-6,60,Female,13750 96th Avenue,Surrey,49.177003,-122.842316,Politics,353,75,65,7,1
172.217.6.206-10.42.0.42-443-40138-6,48,Male,11-32700 George Ferguson Way,Abbotsford,49.055266,-122.318479,Business,195,40,31,6,1
10.42.0.151-64.71.142.95-49935-443-6,65,Female,11-32700 George Ferguson Way,Abbotsford,49.055266,-122.318479,Neighbourhood,38,85,89,10,0
10.42.0.151-123.125.29.138-40069-443-6,61,Male,11-32700 George Ferguson Way,Abbotsford,49.055266,-122.318479,Education,262,82,39,10,0
172.217.10.97-10.42.0.151-443-55777-6,36,Male,1100-13401 108th Avenue,Surrey,49.199092,-122.850254,Sports,342,65,63,10,0
208.80.154.224-10.42.0.211-80-45456-6,59,Female,1100-13401 108th Avenue,Surrey,49.199092,-122.850254,Politics,181,42,89,12,1
151.101.22.2-10.42.0.42-443-40469-6,62,Female,1100-13401 108th Avenue,Surrey,49.199092,-122.850254,Business,172,75,229,6,0
10.42.0.211-10.42.0.1-35721-53-17,56,Female,3935 Kincaid Street,Burnaby,49.248886,-123.015277,Neighbourhood,99,70,89,16,0
10.42.0.151-10.42.0.1-16204-53-17,64,Male,3935 Kincaid Street,Burnaby,49.248886,-123.015277,Politics,93,70,89,16,0
10.42.0.151-104.244.43.67-33905-443-6,44,Male,3935 Kincaid Street,Burnaby,49.248886,-123.015277,Business,233,66,89,7,0
202.77.129.150-10.42.0.211-443-35365-6,54,Male,45470 Menholm Road,Chilliwack,49.166246,-121.963926,Neighbourhood,255,32,31,17,0
151.101.1.140-10.42.0.211-443-43652-6,62,Male,45470 Menholm Road,Chilliwack,49.166246,-121.963926,Education,362,29,91,18,0
172.217.9.226-10.42.0.151-443-41281-6,63,Male,700-220 Brew Street,Port Moody,49.246253,-122.804542,Sports,348,75,31,17,1
180.163.255.159-10.42.0.42-80-57355-6,46,Male,700-220 Brew Street,Port Moody,49.246253,-122.804542,Politics,386,80,31,18,0
10.42.0.211-64.71.142.120-33205-443-6,59,Male,9639 137A Street,Surrey,49.178002,-122.842316,Neighbourhood,73,34,29,18,1
182.22.120.252-10.42.0.211-443-51979-6,70,Male,9639 137A Street,Surrey,49.178002,-122.842316,Politics,230,30,31,18,1
10.42.0.1-10.42.0.42-53-60514-17,72,Female,7315 Edmonds Street,Burnaby,49.218824,-122.950948,Business,208,30,31,18,0
10.42.0.211-104.192.108.27-34945-80-6,48,Male,7315 Edmonds Street,Burnaby,49.218824,-122.950948,Neighbourhood,336,30,31,18,0
180.149.136.194-10.42.0.211-443-49672-6,67,Male,121-1190 Haney Place,Maple Ridge,49.218911,-122.598702,Education,365,80,155,5,1
180.149.134.221-10.42.0.151-80-39615-6,57,Female,121-1190 Haney Place,Maple Ridge,49.218911,-122.598702,Sports,1666,38,31,11,0
203.130.53.126-10.42.0.211-80-44227-6,59,Female,330 East Columbia Street,New Westminster,49.22679,-122.892844,Politics,577,20,31,11,0
192.229.173.173-10.42.0.151-80-59863-6,65,Male,1200 Hospital Bench,Trail,49.10318,-117.70147,Music,137,65,31,10,0
10.42.0.42-104.193.88.102-52375-80-6,76,Male,1200 Hospital Bench,Trail,49.10318,-117.70147,Sports,366,85,107,13,0
10.42.0.151-31.13.71.52-37938-443-6,56,Female,3800 Patten Drive,Armstrong,50.439273,-119.208583,Politics,314,105,143,12,1
10.42.0.211-121.12.98.62-51889-80-6,52,Male,640 Park Drive,Clearwater,51.646945,-120.018229,Business,160,56,173,10,0
10.42.0.151-10.42.0.1-17659-53-17,60,Female,640 Park Drive,Clearwater,51.646945,-120.018229,Neighbourhood,212,67,41,21,0
169.55.67.229-10.42.0.211-443-48896-6,82,Female,13 24th Avenue N,Cranbrook,49.512483,-115.748688,Education,188,85,169,22,1
216.58.219.202-10.42.0.42-443-57704-6,60,Female,13 24th Avenue N,Cranbrook,49.512483,-115.748688,Sports,22,63,125,22,0
10.42.0.211-72.30.3.43-34278-443-6,59,Male,7649 22nd Street,Grand Forks,49.030363,-118.467838,Politics,616,63,125,22,0
220.243.235.201-10.42.0.211-80-53656-6,74,Female,7649 22nd Street,Grand Forks,49.030363,-118.467838,Business,178,76,213,13,0
180.149.136.194-10.42.0.211-80-37448-6,59,Male,311 Columbia Street,Kamloops,50.671418,-120.334025,Neighbourhood,355,73,71,13,0
172.217.10.142-10.42.0.42-443-34104-6,60,Female,311 Columbia Street,Kamloops,50.671418,-120.334025,Politics,225,74,89,12,1
172.217.12.170-10.42.0.151-443-60112-6,63,Female,2268 Pandosy Street,Kelowna,49.873281,-119.491273,Business,160,87,111,10,1
172.217.10.141-10.42.0.42-443-54390-6,68,Male,2268 Pandosy Street,Kelowna,49.873281,-119.491273,Neighbourhood,266,90,107,13,1
219.142.78.217-10.42.0.42-80-59248-6,54,Male,951 Murray Street,Lillooet,50.689254,-121.939063,Education,253,90,71,18,0
10.42.0.42-121.12.98.62-36317-80-6,61,Male,951 Murray Street,Lillooet,50.689254,-121.939063,Neighbourhood,179,73,105,16,0
172.217.10.234-10.42.0.211-443-46670-6,47,Female,3451 Voght Street,Merritt,50.121468,-120.771016,Politics,269,65,15,16,0
10.42.0.211-104.118.220.50-38948-443-6,58,Female,3451 Voght Street,Merritt,50.121468,-120.771016,Business,135,65,15,16,0
10.42.0.42-123.125.29.220-48918-80-6,45,Male,550 Carmi Avenue,Penticton,49.482657,-119.578687,Neighbourhood,161,62,51,18,1
203.130.53.126-10.42.0.211-80-42837-6,67,Male,550 Carmi Avenue,Penticton,49.482657,-119.578687,Education,787,68,95,10,1
198.11.132.178-10.42.0.211-443-51796-6,40,Male,98 Ridgewood Drive,Princeton,49.453436,-120.526235,Sports,145,83,61,21,0
10.42.0.42-123.125.29.138-52956-443-6,64,Female,98 Ridgewood Drive,Princeton,49.453436,-120.526235,Politics,174,85,71,21,1
140.205.34.4-10.42.0.42-443-50412-6,43,Female,517 6th Avenue N,Williams Lake,52.137421,-122.143656,Music,449,95,71,21,0
10.42.0.211-64.71.142.96-35130-443-6,64,Female,517 6th Avenue N,Williams Lake,52.137421,-122.143656,Sports,812,85,1,10,0
10.42.0.211-10.42.0.1-51081-53-17,54,Male,2268 Pandosy Street,Kelowna,49.873281,-119.491273,Politics,164,44,71,16,0
172.217.9.227-10.42.0.151-443-56640-6,56,Female,2268 Pandosy Street,Kelowna,49.873281,-119.491273,Business,366,44,71,16,1
172.217.7.229-10.42.0.42-443-35527-6,56,Male,2268 Pandosy Street,Kelowna,49.873281,-119.491273,Neighbourhood,357,89,33,16,0
10.42.0.151-121.14.255.49-52335-80-6,60,Female,13 24th Avenue N,Cranbrook,49.512483,-115.748688,Education,232,62,25,17,0
10.42.0.211-10.42.0.1-32616-53-17,68,Male,13 24th Avenue N,Cranbrook,49.512483,-115.748688,Sports,91,33,27,17,0
172.217.12.206-10.42.0.211-443-42806-6,67,Female,13 24th Avenue N,Cranbrook,49.512483,-115.748688,Politics,273,40,11,17,0
10.42.0.211-104.193.88.109-54965-80-6,30,Male,311 Columbia Street,Kamloops,50.671418,-120.334025,Business,158,73,3,17,1
10.42.0.211-31.13.71.36-44996-443-6,74,Male,311 Columbia Street,Kamloops,50.671418,-120.334025,Neighbourhood,177,36,25,17,0
10.42.0.211-64.71.142.96-47252-443-6,55,Female,311 Columbia Street,Kamloops,50.671418,-120.334025,Politics,200,38,17,17,1
10.42.0.211-111.202.114.77-59165-443-6,46,Male,550 Carmi Avenue,Penticton,49.482657,-119.578687,Business,172,38,17,17,0
172.217.12.131-10.42.0.211-443-32905-6,63,Male,550 Carmi Avenue,Penticton,49.482657,-119.578687,Neighbourhood,176,77,15,18,1
10.42.0.151-10.42.0.1-56945-53-17,25,Male,550 Carmi Avenue,Penticton,49.482657,-119.578687,Education,211,28,25,18,0
10.42.0.211-123.125.29.138-36839-443-6,61,Male,1200 Hospital Bench,Trail,49.10318,-117.70147,Education,214,29,45,18,1
10.42.0.211-123.125.115.164-40824-443-6,62,Female,1200 Hospital Bench,Trail,49.10318,-117.70147,Sports,1575,36,163,18,0
172.217.10.238-10.42.0.211-443-51279-6,55,Male,1200 Hospital Bench,Trail,49.10318,-117.70147,Politics,349,36,163,18,1
10.42.0.211-69.147.64.34-46379-443-6,65,Female,2101 32nd Street,Vernon,50.256925,-119.273751,Music,337,4,53,10,0
10.42.0.211-10.42.0.1-40083-53-17,71,Female,2101 32nd Street,Vernon,50.256925,-119.273751,Sports,272,33,57,11,0
10.42.0.1-10.42.0.42-53-4821-17,61,Male,2101 32nd Street,Vernon,50.256925,-119.273751,Politics,208,60,53,11,1
10.42.0.211-10.42.0.1-22652-53-17,55,Female,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Business,193,30,53,13,0
10.42.0.211-123.125.29.220-53656-80-6,40,Male,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Neighbourhood,212,28,63,12,0
10.42.0.211-77.234.41.79-52308-443-6,69,Male,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Education,165,75,53,10,1
10.42.0.211-10.42.0.1-65350-53-17,70,Female,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Sports,1042,40,53,10,0
10.42.0.211-64.71.142.95-58644-443-6,64,Female,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Politics,20,40,53,11,1
10.42.0.211-77.234.44.40-53945-80-6,66,Male,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Business,246,60,123,16,1
10.42.0.211-104.97.95.172-59484-80-6,60,Female,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Neighbourhood,529,56,137,17,1
172.217.12.205-10.42.0.151-443-46634-17,63,Female,5 Beryl Drive,Logan Lake,50.497372,-120.815362,Politics,192,65,137,17,0
10.42.0.211-66.198.24.253-53182-443-6,71,Male,825 Thompson Avenue,Chase,50.818238,-119.68568,Business,1467,27,69,17,1
10.42.0.151-10.42.0.1-64013-53-17,75,Female,825 Thompson Avenue,Chase,50.818238,-119.68568,Neighbourhood,188,60,21,18,0
183.79.250.123-10.42.0.211-443-60678-6,60,Male,825 Thompson Avenue,Chase,50.818238,-119.68568,Education,180,92,95,18,0
10.42.0.151-106.39.169.66-45237-80-6,54,Female,825 Thompson Avenue,Chase,50.818238,-119.68568,Neighbourhood,48,53,151,17,0
172.217.10.72-10.42.0.151-443-45936-6,70,Male,825 Thompson Avenue,Chase,50.818238,-119.68568,Politics,213,67,33,18,0
180.149.138.210-10.42.0.211-80-51993-6,56,Female,825 Thompson Avenue,Chase,50.818238,-119.68568,Business,545,67,33,18,1
10.42.0.211-34.193.179.48-60382-443-6,63,Male,825 Thompson Avenue,Chase,50.818238,-119.68568,Neighbourhood,583,23,165,10,0
10.42.0.211-121.12.98.62-55456-80-6,60,Female,825 Thompson Avenue,Chase,50.818238,-119.68568,Education,221,80,33,11,1
157.240.18.36-10.42.0.211-443-40026-6,54,Male,951 Murray Street,Lillooet,50.689306,-121.938675,Sports,426,17,195,21,0
10.42.0.151-119.146.74.33-38822-443-6,65,Female,951 Murray Street,Lillooet,50.689306,-121.938675,Politics,287,17,195,21,0
172.217.12.206-10.42.0.151-443-37102-6,56,Male,951 Murray Street,Lillooet,50.689306,-121.938675,Music,197,70,59,11,0
10.42.0.211-66.198.24.253-53285-443-6,58,Female,951 Murray Street,Lillooet,50.689306,-121.938675,Sports,257,92,51,13,0
216.58.217.67-10.42.0.211-443-38386-6,48,Female,951 Murray Street,Lillooet,50.689306,-121.938675,Politics,229,60,87,11,1
205.185.216.10-10.42.0.211-80-36597-6,59,Female,951 Murray Street,Lillooet,50.689306,-121.938675,Business,55,78,121,13,0
10.42.0.211-10.42.0.1-11294-53-17,68,Male,951 Murray Street,Lillooet,50.689306,-121.938675,Neighbourhood,400,95,143,14,1
10.42.0.211-10.42.0.1-27891-53-17,34,Male,951 Murray Street,Lillooet,50.689306,-121.938675,Education,197,70,153,16,1
10.42.0.211-66.198.24.253-53261-443-6,54,Male,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Sports,190,70,153,16,1
172.217.6.195-10.42.0.211-443-46958-6,57,Female,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Politics,21,58,153,16,0
10.42.0.211-10.42.0.1-14436-53-17,65,Male,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Education,300,40,65,18,0
10.42.0.211-10.42.0.1-33984-53-17,77,Female,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Sports,123,43,21,14,0
172.217.12.130-10.42.0.211-443-55166-6,54,Female,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Politics,293,64,147,14,0
10.42.0.211-10.42.0.1-31733-53-17,57,Male,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Music,325,48,97,14,0
10.42.0.42-23.194.181.192-41213-443-6,70,Female,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Sports,514,71,51,22,0
208.80.154.224-10.42.0.211-80-40393-6,72,Male,851 16th Street NE,Salmon Arm,50.705422,-119.268678,Politics,849,85,57,15,1
10.42.0.211-106.11.129.143-57448-443-6,66,Female,4816 89th Street,Osoyoos,49.019402,-119.469439,Business,194,54,127,15,0
10.42.0.211-10.42.0.1-48706-53-17,60,Male,4816 89th Street,Osoyoos,49.019402,-119.469439,Neighbourhood,212,40,153,15,0
10.42.0.211-87.240.165.80-37155-80-6,59,Female,4816 89th Street,Osoyoos,49.019402,-119.469439,Education,337,42,19,15,0
10.42.0.42-52.192.237.93-37101-443-6,74,Male,4816 89th Street,Osoyoos,49.019402,-119.469439,Sports,286,72,183,16,1
157.240.3.19-10.42.0.211-443-35046-6,74,Female,4816 89th Street,Osoyoos,49.019402,-119.469439,Politics,247,14,111,18,1
172.217.10.106-10.42.0.151-443-58848-6,48,Male,4816 89th Street,Osoyoos,49.019402,-119.469439,Business,518,24,55,18,1
10.42.0.211-106.39.169.66-52754-80-6,62,Male,4816 89th Street,Osoyoos,49.019402,-119.469439,Neighbourhood,364,29,95,18,0
192.229.173.173-10.42.0.151-80-46584-6,60,Female,4816 89th Street,Osoyoos,49.019402,-119.469439,Politics,178,20,41,18,1
10.42.0.211-103.235.46.211-40526-443-6,74,Male,1500 Columbia Avenue,Trail,49.098068,-117.70327,Business,98,32,111,10,1
172.217.12.174-10.42.0.42-443-34535-6,61,Female,1500 Columbia Avenue,Trail,49.098068,-117.70327,Neighbourhood,439,23,101,10,0
172.217.12.142-10.42.0.151-443-35652-6,45,Female,1500 Columbia Avenue,Trail,49.098068,-117.70327,Education,139,45,105,10,0
172.217.3.110-10.42.0.151-443-41279-6,60,Male,1500 Columbia Avenue,Trail,49.098068,-117.70327,Neighbourhood,79,2,169,10,1
202.77.129.146-10.42.0.42-80-55079-6,60,Female,1500 Columbia Avenue,Trail,49.098068,-117.70327,Politics,175,42,111,10,0
10.42.0.211-52.88.110.117-39067-443-6,45,Male,1500 Columbia Avenue,Trail,49.098068,-117.70327,Business,262,25,111,10,0
172.217.10.74-10.42.0.151-443-34446-6,57,Male,1500 Columbia Avenue,Trail,49.098068,-117.70327,Neighbourhood,61,35,111,11,0
10.42.0.42-104.193.88.102-56560-443-6,45,Female,1500 Columbia Avenue,Trail,49.098068,-117.70327,Education,78,32,111,11,0
10.42.0.211-115.239.210.141-44622-80-6,49,Male,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Sports,102,40,111,13,0
10.42.0.211-31.13.71.7-46561-443-6,72,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Politics,579,54,111,22,0
172.217.10.106-10.42.0.151-443-36865-6,43,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Music,143,78,111,22,0
192.229.173.173-10.42.0.42-80-57088-6,44,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Sports,677,78,111,22,1
202.77.129.150-10.42.0.211-443-35512-6,66,Male,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Politics,267,67,79,22,1
10.42.0.151-10.42.0.1-60282-53-17,45,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Business,345,70,53,22,1
203.205.128.137-10.42.0.151-80-51473-6,55,Male,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Neighbourhood,185,104,111,12,0
10.42.0.211-108.174.11.1-49638-80-6,75,Female,505 Doyle Avenue,Kelowna,49.888762,-119.492542,Education,207,20,13,14,1
10.42.0.211-52.77.147.38-51023-80-6,65,Male,1440 14th Avenue,Vernon,50.251803,-119.248454,Sports,69,32,13,12,0
202.77.129.150-10.42.0.211-443-39758-6,63,Female,1440 14th Avenue,Vernon,50.251803,-119.248454,Politics,100,50,17,18,0
203.205.158.61-10.42.0.151-80-32785-6,69,Male,1440 14th Avenue,Vernon,50.251803,-119.248454,Business,125,45,17,18,1
172.217.10.1-10.42.0.211-443-50887-6,72,Female,1440 14th Avenue,Vernon,50.251803,-119.248454,Neighbourhood,461,62,39,18,1
172.217.10.110-10.42.0.42-443-51380-6,76,Male,1440 14th Avenue,Vernon,50.251803,-119.248454,Education,240,29,39,18,1
140.205.230.49-10.42.0.211-443-38731-6,41,Female,1440 14th Avenue,Vernon,50.251803,-119.248454,Sports,70,75,17,16,1
10.42.0.211-95.213.11.133-40127-80-6,48,Female,1440 14th Avenue,Vernon,50.251803,-119.248454,Politics,193,85,23,16,1
10.42.0.151-23.194.141.191-46459-443-6,59,Male,1440 14th Avenue,Vernon,50.251803,-119.248454,Business,136,81,13,16,0
10.42.0.211-106.11.94.27-58458-443-6,46,Female,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Neighbourhood,73,55,17,22,1
216.58.219.227-10.42.0.151-443-38207-6,64,Male,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Politics,528,95,7,12,0
10.42.0.151-10.42.0.1-1616-53-17,44,Male,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Business,541,75,21,12,0
183.79.248.124-10.42.0.151-80-54234-6,60,Male,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Neighbourhood,338,68,21,12,0
203.205.179.172-10.42.0.151-80-51506-6,44,Female,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Education,163,67,13,11,0
10.42.0.1-10.42.0.42-53-1846-17,65,Male,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Sports,87,65,29,13,1
10.42.0.151-64.71.142.120-33748-80-6,49,Male,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Politics,301,63,37,13,0
10.42.0.211-64.71.142.120-55838-443-6,48,Female,700 Ash-Cache Creek Highway,Ashcroft,50.734772,-121.280163,Music,46,35,57,13,0
10.42.0.211-10.42.0.1-44473-53-17,41,Male,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Sports,52,80,13,10,0
206.126.112.142-10.42.0.151-443-49798-6,76,Female,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Politics,204,85,7,10,0
172.217.10.110-10.42.0.151-443-38067-6,46,Male,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Business,155,68,3,11,0
174.129.32.118-10.42.0.211-443-39372-6,61,Female,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Neighbourhood,98,68,3,11,1
10.42.0.211-104.192.108.27-42236-80-6,75,Male,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Education,71,38,7,11,1
10.42.0.1-10.42.0.42-53-7528-17,45,Male,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Sports,243,51,1,17,0
209.10.120.26-10.42.0.211-80-34317-6,52,Male,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Politics,186,76,1,17,1
172.217.9.238-10.42.0.151-443-59671-6,63,Female,4537 Barriere Town Road,Barriere,51.180406,-120.125113,Business,579,81,1,17,0
172.217.10.14-10.42.0.151-443-45252-6,55,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Neighbourhood,165,75,67,17,1
10.42.0.211-10.42.0.1-1439-53-17,72,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Politics,163,78,71,17,1
10.42.0.211-104.244.42.129-50643-443-6,68,Female,740 Carmi Avenue,Penticton,49.482621,-119.575006,Business,46,79,1,20,0
175.100.207.232-10.42.0.211-443-53617-6,63,Female,740 Carmi Avenue,Penticton,49.482621,-119.575006,Neighbourhood,559,79,1,20,0
172.217.5.227-10.42.0.42-443-59351-17,71,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Education,2033,74,1,20,0
10.42.0.211-10.42.0.1-58592-53-17,45,Male,740 Carmi Avenue,Penticton,49.482621,-119.575006,Sports,85,74,1,20,1
162.208.22.39-10.42.0.151-443-54337-6,59,Female,740 Carmi Avenue,Penticton,49.482621,-119.575006,Politics,506,8,67,21,1
10.42.0.211-23.219.23.167-44007-80-6,68,Female,740 Carmi Avenue,Penticton,49.482621,-119.575006,Neighbourhood,114,65,119,20,0
10.42.0.211-10.42.0.1-30684-53-17,56,Female,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Politics,114,55,61,11,0
192.229.163.180-10.42.0.211-443-46476-6,56,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Business,843,46,1,11,0
10.42.0.151-10.42.0.1-17538-53-17,53,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Neighbourhood,181,46,1,11,0
172.217.6.206-10.42.0.211-443-51627-6,70,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Education,427,61,119,22,0
183.79.250.123-10.42.0.151-443-60970-6,64,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Sports,292,30,87,13,0
10.42.0.211-63.250.200.101-47694-443-6,78,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Politics,192,70,81,13,0
192.229.173.173-10.42.0.211-80-42365-6,81,Female,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Music,93,84,61,22,1
10.42.0.151-125.39.83.108-55019-80-6,59,Male,555 Cedar Avenue S,100 Mile House,51.638711,-121.292384,Sports,128,46,29,13,1
10.42.0.211-23.208.168.108-37616-443-6,56,Male,707 10th Street,Castlegar,49.314742,-117.660589,Politics,107,63,103,15,1
10.42.0.211-10.42.0.1-19255-53-17,51,Male,707 10th Street,Castlegar,49.314742,-117.660589,Business,303,50,63,15,0
10.42.0.211-36.51.254.232-55450-443-6,80,Male,707 10th Street,Castlegar,49.314742,-117.660589,Neighbourhood,81,11,75,16,0
10.42.0.211-106.39.162.36-60704-80-6,63,Male,707 10th Street,Castlegar,49.314742,-117.660589,Education,270,29,1,16,0
10.42.0.151-23.194.141.104-43879-443-6,68,Female,707 10th Street,Castlegar,49.314742,-117.660589,Sports,228,44,47,17,1
10.42.0.1-10.42.0.42-53-28735-17,64,Female,707 10th Street,Castlegar,49.314742,-117.660589,Politics,240,32,95,18,0
172.217.12.170-10.42.0.211-443-41874-6,41,Female,707 10th Street,Castlegar,49.314742,-117.660589,Business,673,35,101,18,1
172.217.9.227-10.42.0.42-80-51262-6,56,Male,707 10th Street,Castlegar,49.314742,-117.660589,Neighbourhood,233,72,77,17,0
10.42.0.211-34.193.204.145-59828-443-6,53,Female,3451 Voght Street,Merritt,50.121147,-120.772808,Politics,102,40,35,20,0
10.42.0.211-23.21.51.186-52639-443-6,69,Male,3451 Voght Street,Merritt,50.121147,-120.772808,Business,461,70,35,18,1
10.42.0.151-10.42.0.1-39674-53-17,56,Male,3451 Voght Street,Merritt,50.121147,-120.772808,Neighbourhood,250,78,77,18,0
10.42.0.211-36.110.213.49-58779-80-6,63,Female,3451 Voght Street,Merritt,50.121147,-120.772808,Education,130,27,155,19,1
183.79.250.123-10.42.0.211-443-33983-6,36,Male,3451 Voght Street,Merritt,50.121147,-120.772808,Neighbourhood,252,26,171,19,0
10.42.0.151-31.13.80.5-55554-443-6,56,Female,3451 Voght Street,Merritt,50.121147,-120.772808,Politics,138,40,77,19,1
10.42.0.1-10.42.0.42-53-45024-17,78,Female,3451 Voght Street,Merritt,50.121147,-120.772808,Business,412,75,149,21,0
10.42.0.211-36.110.213.174-57678-443-6,64,Male,3451 Voght Street,Merritt,50.121147,-120.772808,Neighbourhood,179,80,35,21,0
192.229.173.173-10.42.0.42-80-41635-6,65,Male,487 Borland Street,Williams Lake,52.129652,-122.139615,Education,19,78,61,21,0
10.42.0.42-117.121.27.11-38990-80-6,63,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Sports,228,72,47,21,0
10.42.0.211-77.234.41.79-34172-443-6,36,Male,487 Borland Street,Williams Lake,52.129652,-122.139615,Politics,55,25,173,17,0
10.42.0.211-10.42.0.1-19960-53-17,56,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Music,717,42,35,17,0
10.42.0.211-104.193.88.109-41657-80-6,66,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Sports,313,25,35,17,0
172.217.11.10-10.42.0.211-443-39629-6,70,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Politics,289,16,77,11,0
172.217.3.106-10.42.0.211-443-55246-6,53,Female,487 Borland Street,Williams Lake,52.129652,-122.139615,Business,683,17,35,22,1
